Compound	SERT	NET	DAT	H1	mACh	α1	α2	5-HT1A	5-HT2A	5-HT2C	D2	MT1A	MT1B
Agomelatine	?	?	?	?	?	?	?	?	?	631	?	0.1	0.12
Amitriptyline	3.13	22.4	5380	1.1	18	24	690	450	4.3	6.15	1460	?	?
Amoxapine	58	16	4310	25	1000	50	2600	?	0.5	2	20.8	?	?
Atomoxetine	43	3.5	1270	5500	2060	3800	8800	10900	1000	940	>35000	?	?
Bupropion	9100	52600	526	6700	40000	4550	>35000	>35000	>10000	>35000	>35000	?	?
Buspirone	?	?	?	?	?	138	?	5.7	138	174	362	?	?
Butriptyline	1360	5100	3940	?	?	?	?	?	?	?	?	?	?
Citalopram	1.38	5100	28000	380	1800	1550	>10000	>10000	>10000	617	?	?	?
Clomipramine	0.14	45.9	2605	31.2	37	39	525	>10000	35.5	64.6	119.8	?	?
Desipramine	17.6	0.83	3190	110	196	100	5500	>10000	113.5	496	1561	?	?
Dosulepin	8.6	46	5310	4	26	419	12	4004	152	?	?	?	?
Doxepin	68	29.5	12100	0.24	83.3	23.5	1270	276	26	8.8	360	?	?

